"i_county","i_year","i_dayswaqi","i_gdays","i_maqi","patternig","coverage","informativeness","county_r2","year_r2","dayswaqi_r2","gdays_r2","maqi_r2","meanr2","fscore"
"Hamilton",NULL,NULL,NULL,NULL,525,86,1,1.8024240924304418,1.8634433988880463,1.202779997639258,1,1,1.3737294977915493,404.4769695374556
NULL,NULL,165,165,NULL,360,42,2,1.846193039186879,1.8995225366924569,1.0167894785934148,1,1,1.35250101089455,403.59568984972856
NULL,2018,0,NULL,NULL,940,44,2,2,1,1,1,1,1.2,402.20421393841167
"Clark",NULL,NULL,NULL,NULL,558,83,1,1.8711431090214514,1.8519749392395073,1.2602901947782543,1,1,1.3966816486078426,402.1526110944535
NULL,NULL,271,271,NULL,463,40,2,1.8651614118282622,1.8939253703028052,1.0745295228108431,1,1,1.3667232609883821,399.8953901314535
NULL,NULL,NULL,NULL,208,562,86,1,1.7690478968329248,1.8293370951517092,1.1146283001637547,1,1,1.3426026584296777,399.1168434727614
"Adams",NULL,NULL,NULL,NULL,506,82,1,1.8470608798537165,1.868436263498717,1.3300204979243966,1,1,1.4091035282553661,396.1085507996311
NULL,NULL,NULL,NULL,206,538,86,1,1.796405095849455,1.8564547930091164,1.0367640903709059,1,1,1.3379247958458955,395.333585935261
NULL,NULL,309,309,NULL,405,38,2,1.8617181692109601,1.9206915520263341,1.3440542331413428,1,1,1.4252927908757274,393.0826753017838
"Douglas",NULL,NULL,NULL,NULL,381,87,1,1.888976409026742,1.8780821707841795,1.178392768349039,1,1,1.3890902696319922,391.54118256525584
NULL,NULL,222,222,NULL,392,38,2,1.8398727465535525,1.9032422745187634,1.3596316575410654,1,1,1.4205493357226762,390.57682774582605
NULL,NULL,189,189,NULL,479,36,2,1.8041443922660672,1.8542541591242128,1.6235228318328612,1,1,1.4563842766446282,387.5178893051783
NULL,NULL,NULL,NULL,207,511,83,1,1.7861761139991033,1.8386490352336748,1.1427592803226139,1,1,1.3535168859110782,385.05155118002995
NULL,NULL,NULL,59,NULL,904,71,1,1.7992825480544767,1.8138368893361885,1.705447571617082,1,1,1.4637134018015494,384.45204540339716
NULL,NULL,263,263,NULL,419,39,2,1.8264903013291764,1.8577902938378181,1.0910980954418246,1,1,1.3550757381217637,383.9696372902489
NULL,1993,0,NULL,NULL,902,42,2,2,1,1,1,1,1.2,383.9594594594594
NULL,1987,NULL,NULL,200,277,40,2,1.8084243073962059,1.902992192231397,1.1917690902792655,1,1,1.3806371179813737,381.98211739245085
NULL,NULL,170,170,NULL,414,38,2,1.8925853607616827,1.906962771282667,1.098845486006681,1,1,1.3796787236102062,381.3100442369022
NULL,NULL,225,225,NULL,344,39,2,1.8533564832598375,1.8796544763266716,1.122228538942581,1,1,1.371047899705818,380.85625147002133
NULL,NULL,233,233,NULL,469,38,2,1.8910656034873528,1.9043297325030517,1.0163988192850115,1,1,1.3623588310550834,380.59169007173705
NULL,NULL,248,248,NULL,460,38,2,1.8762960940497273,1.878470131653472,1.0633782087355526,1,1,1.3636288868877504,380.3424352216112
NULL,NULL,240,240,NULL,440,38,2,1.8850845160203935,1.9097101960476275,1.0387590033634526,1,1,1.3667107430862946,379.7753872780627
NULL,NULL,285,285,NULL,414,37,2,1.8979502629182217,1.9066507683485714,1.2024219550456432,1,1,1.4014045972624873,377.93396593732456
NULL,NULL,251,251,NULL,490,34,2,1.769003217385507,1.8779528882366414,1.7864721263115548,1,1,1.4866856463867406,375.64069073632754
NULL,NULL,0,NULL,74,888,42,2,1.699598907824122,1.170403960560802,1,1,1,1.174000573676985,375.36858394202403
NULL,NULL,NULL,NULL,51,554,69,1,1.836751403109488,1.9205235630856445,1.9139163171042086,1,1,1.5342382566598682,375.0253016527396
NULL,NULL,175,175,NULL,421,35,2,1.815563725490196,1.897426908784968,1.592941176470588,1,1,1.4611863621491505,374.88400213718586
NULL,1983,NULL,NULL,200,345,38,2,1.8270349122661576,1.9142663842805032,1.1468272992524007,1,1,1.3776257191598122,373.9486342061145
NULL,NULL,279,279,NULL,437,37,2,1.8646995263552022,1.8798660320937843,1.145486847336337,1,1,1.3780104811570646,373.3904952575615
NULL,NULL,282,282,NULL,397,36,2,1.880432801360985,1.9128564536878214,1.2146209600760458,1,1,1.4015820430249704,367.21059470289407
NULL,2012,0,NULL,NULL,892,40,2,2,1,1,1,1,1.2,366.2617621899059
NULL,NULL,268,268,NULL,363,37,2,1.8714648428732203,1.8552650768157526,1.144058619408589,1,1,1.3741577078195124,366.03856387037143
NULL,2001,0,NULL,NULL,843,40,2,2,1,1,1,1,1.2,365.2809749492214
NULL,NULL,305,305,NULL,391,36,2,1.8797134890153249,1.9096983990324192,1.1889486059791736,1,1,1.3956720988053835,365.16130131112635
NULL,NULL,NULL,NULL,64,655,69,1,1.705060961604192,1.810468245974287,1.8034174532644667,1,1,1.463789332168589,364.2629396748099
NULL,NULL,244,244,NULL,437,35,2,1.8528723414561905,1.8839798464752655,1.334302096808792,1,1,1.4142308569480497,363.98844717846197
NULL,NULL,274,274,NULL,417,37,2,1.7963193333728253,1.7870820234352671,1.1540477577169481,1,1,1.347489822905008,363.6695674993537
NULL,NULL,201,201,NULL,328,37,2,1.9321600406076893,1.9459361573269094,1.0189956072658197,1,1,1.3794183610400836,363.55171641376256
NULL,NULL,256,256,NULL,281,34,2,1.9381197135207828,1.9335702526522525,1.5631411358965535,1,1,1.4869662204139178,356.84914678744514
NULL,1998,0,NULL,NULL,858,39,2,2,1,1,1,1,1.2,356.8487002888247
NULL,NULL,NULL,NULL,55,453,67,1,1.828243187949959,1.9293748234741153,1.9020310081101686,1,1,1.5319298039068485,355.9254378642499
NULL,NULL,NULL,60,NULL,794,66,1,1.7219019144367462,1.848524869478861,1.7503903399701615,1,1,1.4641634247771538,355.85487891968086
NULL,NULL,227,227,NULL,420,34,2,1.8347432306255835,1.8858844613114063,1.3630252100840337,1,1,1.4167305804042047,353.82899374933777
NULL,NULL,NULL,NULL,62,567,63,1,1.9214605086263994,1.9448512673637093,1.9366226461055471,1,1,1.560586884419131,352.50836207107284
NULL,NULL,280,280,NULL,345,36,2,1.836525333202737,1.8590890554262902,1.113859389702917,1,1,1.361894755666389,352.0584760594754
NULL,NULL,257,257,NULL,359,34,2,1.8534719035407385,1.7875387868869974,1.5038354473428979,1,1,1.4289692275541266,351.98231704431856
NULL,NULL,154,154,NULL,402,35,2,1.8569501767322545,1.9049964237561434,1.1117843504235825,1,1,1.374746190182396,351.3857969959592
NULL,NULL,269,269,NULL,399,35,2,1.8912401367178426,1.920384236797489,1.0164218593194052,1,1,1.3656092465669474,348.8291301396074
NULL,NULL,287,287,NULL,426,32,2,1.771997786386276,1.8210873923811772,1.7676785400947534,1,1,1.4721527437724413,347.90201027360683
NULL,NULL,NULL,NULL,66,537,63,1,1.8497817112106332,1.9420759086717259,1.921589998397179,1,1,1.5426895236559077,346.4699194413112
"Marion",NULL,NULL,NULL,NULL,460,70,1,1.8891138048431664,1.8603158788376253,1.4045478476564675,1,1,1.4307955062674518,346.1228440627989
NULL,NULL,NULL,NULL,69,534,63,1,1.813675768371529,1.9474673425633746,1.9042827176529427,1,1,1.5330851657175693,344.10812294580387
NULL,NULL,272,272,NULL,399,33,2,1.8979314231303621,1.8738064120345674,1.3285296574770262,1,1,1.4200534985283912,343.53667020871876
NULL,NULL,319,319,NULL,388,31,2,1.7658299864007732,1.8340090972791296,1.905450327298364,1,1,1.5010578821956533,341.86374439012076
NULL,NULL,158,158,NULL,368,34,2,1.869171775329907,1.8982766365826764,1.1512695942134108,1,1,1.383743601225199,341.6693483507978
NULL,NULL,0,NULL,67,816,38,2,1.734159786829827,1.1669211154157637,1,1,1,1.180216180449118,341.5491177473674
NULL,1982,NULL,NULL,200,214,37,2,1.7944654601844605,1.8806500761808025,1.1792285373788776,1,1,1.3708688147488282,341.3768039008045
NULL,NULL,NULL,NULL,70,599,64,1,1.6709335687486206,1.8052656301981567,1.918605590333603,1,1,1.478960957856076,340.7918242750343
NULL,NULL,254,254,NULL,467,31,2,1.8860286365988765,1.9308399872724156,1.5546244359812893,1,1,1.4742986119705161,340.49076596066544
NULL,NULL,206,206,NULL,337,32,2,1.9258355733647132,1.9489853706044964,1.4405780670587482,1,1,1.4630798022055918,338.88679855976795
NULL,NULL,NULL,NULL,61,570,62,1,1.8297096579928362,1.864926747306412,1.8931366387217197,1,1,1.5175546088041938,338.08602763215697
NULL,NULL,284,284,NULL,355,34,2,1.8800126082606097,1.9013081003379493,1.0635710768752349,1,1,1.368978357094759,336.89857621915564
