county,year,dayswaqi,maqi
Stearns,1992,57,50
Salt Lake,1998,365,203
St. Bernard,1996,366,167
Berrien,1997,183,195
Randall,2012,349,136
Washington,2013,116,101
Maricopa,1991,365,177
Miami,1997,210,182
Pinellas,1997,365,161
Jackson,1993,365,133
York,1987,234,214
Union,2010,365,127
Brooke,2003,365,182
Boulder,1998,365,177
Catawba,2018,352,77
York,1997,360,215
Clark,1989,356,209
Suffolk,1999,365,192
Bullitt,1998,365,192
Queens,2013,365,133
Clark,2001,365,126
Roane,1998,365,179
Rockingham,2017,365,112
Sweetwater,1996,131,69
DeKalb,1985,362,190
Imperial,2013,365,207
MOBILE MONITORS,1994,159,187
Clark,2012,366,172
Garfield,2007,324,166
LaPorte,1988,366,166
San Juan,2009,340,112
Hamilton,2011,300,129
Morgan,2017,362,56
Erie,1994,365,183
Harrison,2001,120,120
Shawnee,1993,50,50
Knox,2016,359,119
Rockingham,2013,365,77
Palm Beach,1996,366,133
Missaukee,2008,241,136
Murray,2010,278,150
Chautauqua,2007,365,169
Monroe,1984,359,182
Yakima,1988,366,111
Hampshire,1986,365,195
Orange,2008,366,147
Glynn,1999,365,150
Wayne,2011,365,154
Warren,1980,350,106
Perry,1994,364,154
Sauk,2017,364,87
St. Lucie,1996,364,93
McLean,2017,364,100
Wilson,1993,365,200
Modoc,1998,43,54
Merrimack,1994,359,178
Grant,2003,119,112
San Juan,1988,345,94
Parker,2017,360,112
Haywood,2002,264,185
Chatham,1999,365,154
Travis,1988,365,190
Wood,2001,312,128
Lauderdale,1987,256,176
Cowlitz,2005,310,100
Fauquier,2003,209,179
Park,1990,119,164
White,1992,61,54
Westmoreland,2016,366,112
Union,1991,58,57
Charleston,1986,365,152
Stoddard,2015,119,73
Camden,2003,365,226
Tangipahoa,2009,117,73
Sumner,2011,365,143
Wayne,2006,98,37
Becker,2011,357,100
Yuma,1996,99,150
Franklin,1980,366,224
Berkeley,1998,362,159
Dauphin,2009,364,118
Valencia,1997,361,80
Johnson,2009,365,129
Winnebago,2001,365,153
Douglas,1997,125,187
El Paso,1989,365,165
Florence,2010,177,93
Sonoma,1989,365,143
Hancock,1998,268,187
Madison,2013,363,118
Crittenden,2006,365,195
Fresno,2002,365,228
Iron,1996,57,41
Columbia,2006,185,105
Pottawattamie,1987,59,65
Siskiyou,1996,181,117
Monmouth,2003,365,226
Escambia,1993,365,199
Snohomish,1985,365,200
Bexar,1999,365,187
Hidalgo,1999,365,129
Arapahoe,2001,345,140
Duchesne,2002,15,20
Essex,2007,359,104
Jasper,2006,354,111
BAJA CALIFORNIA NORTE,2013,363,441
Mitchell,2006,120,96
Goodhue,2005,176,143
Graves,1997,208,156
Hancock,2005,182,156
Morgan,2000,181,169
Los Angeles,2017,365,224
Nassau,2001,365,143
Hawaii,2013,365,221
Sweetwater,1991,201,102
Alachua,1999,360,147
Dawson,2001,241,156
Madison,2009,240,90
Tuscaloosa,2000,107,126
Wallowa,2006,362,127
Solano,1993,365,177
Marin,2007,365,78
Clermont,2001,365,164
Somerset,1992,236,156
Morgan,2003,284,161
Jefferson,1982,234,246
Suffolk,1990,365,200
Swift,1998,15,25
New London,2000,252,220
Mason,2010,365,73
Henry,2013,120,85
Lake,1985,362,208
Wythe,2009,214,80
Bristol City,2001,111,120
Taylor,1992,347,136
Caroline,1995,359,164
Waukesha,2010,252,119
Monmouth,1983,362,95
Sumner,1990,360,209
Scotts Bluff,1995,48,73
Orange,2019,360,93
Scotts Bluff,1996,33,60
Union,2001,206,177
Canyon,1995,59,64
Chemung,2001,365,151
Caroline,2000,351,156
Monterey,2014,365,100
Hamilton,1987,1,0
Sevier,2002,362,202
Davis,1992,366,197
Luzerne,1995,365,177
Madison,1993,345,166
Minnehaha,2016,366,105
Woodbury,2010,123,127
Beaufort,1990,160,174
Flathead,1999,365,145
Charlton,2002,113,101
San Francisco,2015,365,100
Sheridan,1996,257,85
Madison,1992,366,185
Hamilton,1994,359,119
Graham,2005,212,150
Big Horn,2013,348,87
Marion,2006,365,140
Frederick,1992,214,159
Howard,2016,325,81
Miami,2003,214,210
Washoe,1983,365,216
Lawrence,2019,112,53
Rockingham,1998,67,192
Polk,1999,97,9
Madison,1991,201,166
Frederick,1989,58,80
Pershing,1996,56,110
Ohio,1982,340,200
Washington,2003,116,107
Dallas,1980,365,224
Bartow,1999,339,113
Cleveland,2014,365,101
Massac,1983,356,158
Colleton,2014,336,152
Alamance,2001,122,123
Sangamon,2011,365,154
Dallas,1995,365,221
Hidalgo,2015,365,107
Scotts Bluff,2002,106,67
Cass,2003,321,179
Jefferson,2008,366,82
Robeson,2012,122,77
Bristol City,2008,120,87
Barnwell,1995,338,119
San Francisco,2003,365,116
Park,2011,122,76
Dauphin,2009,364,118
Henrico,2003,256,187
Jackson,2004,366,200
Fountain,2015,357,46
Citrus,2003,116,71
Fountain,1999,273,177
Sagadahoc,2002,174,190
Collin,2005,363,177
New Haven,2001,365,229
Hopewell City,1985,355,123
Navajo,2006,328,150
Matanuska-Susitna ,2017,365,155
Faulkner,2005,114,133
Etowah,2004,284,112
Virginia Beach City,2014,362,87
Hartford,2016,366,169
Lancaster,1989,365,166
Hancock,1991,365,200
Erie,1980,350,256
Colbert,2015,280,73
Suffolk,2006,365,148
Clark,2002,365,214
Modoc,1998,43,54
Berks,1997,365,213
Smith,2013,357,126
Virginia Beach City,2014,362,87
Somerset,2011,342,115
Valley,2018,353,108
Greenville,2008,366,133
Livingston,2019,261,77
Clearfield,2004,212,129
Hudson,2006,364,169
Baltimore,1997,331,223
Chatham,1987,364,97
Clackamas,1986,302,212
Cowlitz,2009,348,70
Billings,1999,365,77
Burlington,1987,356,210
BAJA CALIFORNIA NORTE,2006,365,352
Washington,1997,54,50
Suffolk,1987,365,205
Kent,2002,214,216
Dutchess,2004,355,185
Warren,1998,60,42
Randolph,1992,366,200
Cowlitz,2016,363,74
Kitsap,2001,60,128
Scott,1989,365,200
Broome,1997,59,49
Hartford,1986,365,182
Missoula,2018,365,153
Cobb,2006,289,203
Guayama,1981,137,61
Haywood,1992,59,48
St. John the Baptist,1982,349,164
Rock Island,1987,365,133
Lewis,2014,365,75
Laramie,2016,366,87
King William,1995,61,43
Madison,1989,61,55
Washington,2019,365,96
Carteret,2018,222,77
Middlesex,2009,365,140
Guayama,1992,61,70
Norfolk City,2012,366,90
Jackson,2012,253,143
Palm Beach,2019,357,93
Litchfield,1991,236,205
Greenville,2002,365,136
Barnstable,1989,193,212
Kauai,1992,40,30
Clinton,1997,176,136
Yavapai,1995,60,58
Roane,2007,121,97
Jefferson,1991,365,222
Grand,1998,55,50
Grand Forks,2000,113,84
St Croix,1986,359,191
Charles,1996,207,172
McMinn,2017,221,66
Summit,1995,365,185
Cumberland,2011,365,143
Jefferson,1996,56,48
Greenup,2017,360,71
Wythe,2007,214,122
Hyde,2018,109,54
Lenoir,2013,262,100
Fajardo,2003,348,66
Manitowoc,2010,241,174
Hancock,2011,280,119
Northampton,2002,365,201
Lincoln,1998,361,84
Ellis,2001,365,162
Pulaski,1993,239,151
Jefferson,1987,364,232
Niagara,1983,365,202
Sandoval,2012,357,100
McLean,1993,355,149
Billings,2009,364,71
King William,2008,59,33
Benton,1981,354,200
Hopewell City,1988,359,121
Rensselaer,1996,336,51
Fairfield,1998,59,53
Lee,2012,111,81
Durham,2013,365,87
Spalding,1996,52,45
Watauga,2006,119,90
Clark,1988,340,126
Glenn,1982,148,133
Kenai Peninsula ,1983,47,7
Champaign,1984,364,161
Murray,2001,261,174
Apache,2001,95,32
Swain,2002,260,147
Ector,2002,123,76
Placer,2007,365,187
Vilas,2007,220,150
Gallia,2003,360,163
Adams,2011,365,105
Columbus,1980,262,200
Polk,1995,365,143
Knox,1999,365,207
Adams,2003,365,120
Cochise,2009,363,129
Baltimore (City),1987,365,190
Missoula,1997,365,82
Strafford,1991,59,52
Carbon,2013,365,105
Winona,2010,118,93
Johnston,2015,84,108
Ramsey,1995,365,140
Matanuska-Susitna ,2013,365,114
Dauphin,2012,365,129
La Plata,2002,364,80
Roanoke,1997,364,156
Jasper,2013,362,105
Greenup,1985,213,187
Citrus,2007,121,86
St. John the Baptist,2010,365,115
Garrett,2011,363,119
Wayne,1989,365,200
McMinn,1993,327,132
Saint Louis,1998,365,119
Mesa,1992,366,93
Yancey,1999,179,185
Christian,2018,280,90
Hanover,2009,214,115
Blount,2008,366,175
Champaign,2007,365,140
Nassau,2015,365,90
Noble,2003,358,213
Bristol,1997,365,202
Florence,2013,219,74
Baltimore,2007,365,172
Yolo,1981,364,210
Lawrence,1993,365,231
Tehama,2003,278,156
Mason,2010,183,126
Cameron,1991,60,64
Madison,2007,122,125
Hillsborough,2018,365,97
Riley,2007,359,108
Northampton,1990,214,207
Mecklenburg,1985,365,208
Mohave,2006,122,73
Dorchester,2012,365,208
Carbon,2009,161,55
Nassau,2018,354,106
Union,2011,365,87
Jefferson,2013,242,101
Miami-Dade,1983,365,182
New York,1981,365,214
Marion,2004,366,115
Glynn,2012,359,87
Hancock,1999,365,200
Mercer,2005,364,107
Sandoval,1988,300,108
Morgan,1983,178,130
Rockdale,2012,361,179
Jefferson,1991,241,201
Contra Costa,2003,365,150
Socorro,2015,107,57
Fairfield,1984,366,264
Grant,2018,351,81
Dane,1990,365,140
Caribou,1980,361,200
Chesterfield,2001,113,85
Montgomery,2003,264,119
Cache,2000,324,155
Garvin,1988,364,81
Yalobusha,2005,343,122
Duchesne,2005,52,22
Coconino,2013,364,115
Hanover,1988,209,226
Hampden,2006,365,215
Pitkin,1992,302,72
Johnson,2012,364,161
Rock,2009,192,93
Emmet,2002,119,82
Lorain,2012,364,159
Mitchell,1992,53,51
Nassau,1999,365,111
Montgomery,2008,361,150
Miller,1991,59,44
Beaver,2012,366,200
Yakima,2013,365,156
Henry,2018,354,115
Ohio,1989,358,144
Cabell,2015,354,101
Jackson,2019,365,105
Anchorage ,1994,362,144
Iberville,1982,347,240
Simpson,2012,239,129
BAJA CALIFORNIA NORTE,2009,365,790
McMinn,1995,360,115
Chatham,2000,256,147
Bronx,1994,365,156
Saint Louis,1984,357,178
Calcasieu,2005,348,164
Fayette,1995,365,197
Saint Charles,1981,359,223
New London,1986,365,221
Caldwell,2002,214,185
Miami-Dade,1997,365,156
New Castle,1987,365,222
Richland,2012,365,89
Meade,2014,364,61
Florence,1989,275,169
Wayne,2006,365,190
Pendleton,1981,174,126
Inyo,2009,365,1402
Giles,1992,361,156
Hinds,2012,366,156
Scott,2000,220,119
Clinton,1995,365,117
Erie,2007,365,182
Duval,1986,365,169
Glenn,2015,365,93
Uintah,2016,366,216
DeKalb,1989,11,48
Tulare,2002,365,213
St. John the Baptist,2015,365,105
Clinton,2010,183,115
Colleton,1998,236,159
Charlottesville City,2004,56,43
Porter,1983,365,234
Hughes,2018,354,108
Linn,2009,365,113
Davie,1996,195,177
Davidson,2009,360,81
Hamilton,1997,181,218
Rockland,2011,340,122
Lee,2003,365,156
Haywood,1998,266,203
Morgan,2003,358,200
Putnam,2008,365,166
Galveston,2013,365,112
St. John the Baptist,1981,351,187
San Juan,2008,358,115
Wallowa,2004,121,56
Northampton,1982,365,219
Sedgwick,2012,366,156
Cedar,2002,265,159
Jefferson,2002,92,91
Page,2000,257,185
Kings,1994,365,179
Calaveras,2005,365,182
Hampshire,1997,365,215
Palm Beach,1980,366,136
Erie,1998,365,210
Santa Barbara,2010,365,143
Mobile,2012,284,126
Madison,2011,360,119
Clinton,2005,214,169
Lake,1993,249,69
Oklahoma,1996,366,169
Inyo,1990,76,762
Newton,1998,365,151
Potter,2013,352,73
Windham,1982,75,151
Dunn,2010,112,87
Androscoggin,1987,293,117
Middlesex,2013,358,101
Harford,2012,360,201
Duval,2004,364,174
Catawba,2016,358,153
Alexander,2009,202,93
Penobscot,2010,365,90
Clinton,2002,365,172
Calcasieu,1984,366,216
Floyd,2015,365,108
Schenectady,1984,366,204
Luzerne,1996,366,174
Wise,1998,54,40
Kent,2004,263,147
Phillips,2012,59,63
Oxford,2017,351,86
Santa Barbara,1992,366,221
Clinton,2006,214,159
Clark,2001,365,126
Cabell,2003,365,200
Lincoln,1990,30,51
Caroline,1997,353,195
La Crosse,2014,358,98
Lake,1998,343,57
Lawrence,1997,235,108
Putnam,1989,271,110
Shelby,1984,366,202
Sutter,2014,365,156
Sherman,2003,56,86
San Mateo,1985,365,122
Saint Louis,2012,366,112
Jones,1995,59,47
Johnson,2014,361,129
Richmond,2002,284,187
Scott,2006,241,101
Lancaster,1987,365,95
Galveston,2002,365,185
Rapides,1997,56,69
Medina,2013,257,97
Ashtabula,2012,366,179
Taney,2009,121,60
DeKalb,1993,357,177
Lincoln,2016,366,69
Kent,2003,365,201
Huntington,2012,180,126
Coles,1989,50,66
Mecklenburg,2016,366,154
Washington,2018,365,108
Watauga,1995,33,31
Caddo,2008,363,136
Richmond,2012,359,143
Rockland,2012,360,159
Brown,2018,121,429
Brooke,1992,365,200
Cabell,2014,348,101
Spartanburg,2013,356,105
Clinton,2011,214,161
Clay,2007,365,185
Putnam,2011,365,77
Schenectady,1984,366,204
Dauphin,2000,366,190
McHenry,2008,366,100
Orleans,2001,365,122
Livingston,1999,335,177
Garden,2008,119,57
Swift,1999,37,27
Queens,1997,228,215
Twin Falls,2018,355,151
Nassau,2008,295,132
Charlottesville City,2004,56,43
Montgomery,2002,364,136
Phillips,1991,82,58
Thurston,1994,358,62
Rockbridge,2006,264,108
Outagamie,2006,245,121
Jasper,2018,365,95
Hampden,2005,365,197
DeKalb,1992,360,156
Hampton City,1993,364,219
Taos,2001,134,33
Paulding,2014,364,95
Coos,1999,365,164
Hall,2014,318,95
Bexar,2005,365,164
Monongalia,1983,72,119
Claiborne,1995,265,179
Warren,2003,60,44
Scott,1992,335,182
Yancey,2003,206,154
Davie,2004,206,136
Saratoga,2001,337,192
Fresno,2008,366,228
Prince Edward,2001,362,164
Imperial,1984,23,29
Lucas,2010,360,164
Westchester,1992,363,217
Graham,2003,209,151
Canadian,2014,345,100
Franklin,2001,365,187
Hampden,1993,365,216
Madison,2000,244,140
Garfield,2015,364,108
Converse,1999,60,64
Grand Forks,1989,34,49
Cuyahoga,2006,365,161
Duval,1991,365,137
Roanoke,2008,363,136
Rutland,2000,360,121
Pottawattamie,2011,119,93
Madison,2014,335,141
Alexander,2012,209,126
Jefferson,2000,366,159
Stearns,1989,365,92
Guaynabo,2012,330,83
Rutherford,2008,239,108
Washtenaw,1992,364,200
Dukes,2018,360,108
Orange,1997,183,90
Greenbrier,2015,210,71
Paulding,2017,11,52
Daviess,2003,365,142
Johnson,2016,183,100
Chesterfield,2011,299,108
San Luis Obispo,1981,365,186
Phillips,2006,117,89
Columbia,1994,214,112
Cabell,1989,365,218
Clark,2011,365,161
Dona Ana,2002,365,178
Sweetwater,1999,63,63
Callaway,2019,245,71
Wayne,2008,196,104
Waukesha,2016,360,100
Fannin,2002,362,146
Humphreys,1983,363,194
Trigg,1995,331,172
Gaston,1998,133,43
Wayne,2010,112,25
Portage,1990,212,185
Kent,2003,365,201
St Thomas,2004,49,75
Richland,1980,366,202
Orange,1996,257,63
Lackawanna,2014,365,100
Barnstable,1999,272,212
Weber,2000,366,190
Cabell,1997,363,204
Randolph,1999,365,200
Garfield,2013,345,105
Stark,2010,365,156
Lafayette,2000,363,208
Washtenaw,2005,361,200
Saint Louis,2002,365,98
Sevier,2006,362,159
Davidson,2015,365,97
Andrew,2018,245,112
Nez Perce,2005,331,67
Lewis and Clark,2011,365,115
Robertson,2016,73,20
Lackawanna,1988,366,232
Pitt,2016,288,100
Frederick,1991,55,65
Taos,2019,358,70
Hanover,2005,213,169
Cabell,1992,362,155
Lorain,2006,263,122
Ada,1986,330,180
Loudon,2006,275,166
Jefferson,2001,232,182
Lucas,1999,365,207
Martinsville City,1992,59,46
Sanders,1988,247,103
Potter,2002,131,75
Story,1980,180,163
Sarasota,2010,365,133
Vilas,2002,276,97
Roosevelt,1998,52,90
Union,1991,58,57
Ouachita,1992,364,122
Morgan,2000,181,169
Putnam,2004,364,192
Spokane,1983,365,207
Colusa,2013,364,126
Montgomery,2004,282,124
Osage,1996,4,19
St. John the Baptist,1997,364,169
Williamson,1992,207,143
Flathead,1989,363,132
San Juan,1993,339,87
Broward,2007,365,153
Sumner,2006,285,182
Cleveland,1980,331,187
Clinton,2013,214,119
Washington,1993,208,119
Loudoun,2001,365,197
York,2018,365,101
Caswell,1999,239,177
Santa Cruz,1987,365,108
Jackson,1998,102,63
Campbell,2011,365,148
Hughes,2016,352,65
Trinity,2014,112,88
Christian,2007,284,166
West Baton Rouge,2019,365,100
Teton,2016,366,99
Guaynabo,1995,358,85
Clark,2012,356,164
Powell,2005,120,86
Harrison,1999,206,122
La Paz,2013,240,115
Graham,2010,196,119
Clallam,2015,364,77
Ventura,1985,365,242
SONORA,2010,62,128
Kings,1984,346,192
St. James,2008,361,115
Mobile,2006,364,164
El Paso,2015,365,105
Cumberland,2015,363,121
Douglas,2003,198,213
Scott,2017,363,87
Colbert,1992,365,129
Door,2006,186,195
Wayne,2007,239,112
Latah,2002,31,64
Adams,1988,363,166
Valencia,2018,359,108
Smith,2004,366,164
Ramsey,1984,366,173
Minnehaha,2005,365,105
New London,1989,351,226
Adams,1987,184,200
Androscoggin,2014,347,90
Marion,2000,345,95
Putnam,2015,365,140
Gregg,2016,366,100
St. Charles,1992,355,195
Amador,1996,366,201
Kandiyohi,2001,105,151
Cambria,2016,366,97
Neosho,2011,56,55
Garfield,2017,240,105
Alamosa,2001,328,77
Yalobusha,2016,360,64
Union,2004,349,85
Canadian,1999,14,69
Union,2000,198,154
Crook,2012,131,129
Forrest,2016,336,70
Chase,2015,119,84
Garfield,1987,57,64
Calcasieu,1999,365,174
Marshall,2007,365,146
Wright,2010,353,125
Kennebec,2016,309,84
Warren,2018,357,112
Warren,1982,360,195
Wichita,1995,59,52
Hamilton,2010,249,119
Barnstable,1992,213,205
Broward,2016,362,93
Schenectady,1997,364,151
Baker,2017,365,170
Washington,2007,365,156
Forrest,1999,98,124
Orange,1982,365,129
San Bernardino,2017,365,233
Flathead,2001,365,139
Cleveland,1981,219,80
Madera,2004,340,147
Franklin,2015,49,39
Tulsa,1990,365,224
Pike,2001,362,166
Lake,1981,358,217
Pickaway,1989,365,136
Boulder,1988,366,172
Lee,1982,182,114
Elkhart,2016,358,131
Caldwell,2017,299,90
Carbon,1995,246,200
Glacier,1997,39,86
Alameda,2006,365,190
Lenawee,2005,182,179
Delaware,2013,239,87
Sheridan,1986,61,109
Madison,2014,365,137
Sedgwick,1995,365,156
Albany,1983,316,122
Greene,1998,135,202
Cass,1992,190,52
Union,1996,365,209
Rosebud,1988,366,178
Indiana,2014,365,119
Lenawee,2010,216,103
Klickitat,1993,99,74
Jessamine,2001,244,133
Alexandria City,2012,366,182
Lehigh,1984,366,201
Clay,2005,365,179
Warren,1998,35,56
Cloud,1997,51,33
Pasco,1998,365,185
Ocean,1999,257,212
Sullivan,1992,363,133
Crawford,2007,323,122
Carson City,1984,314,182
Carteret,1996,329,143
Claiborne,1990,346,182
Macomb,1988,366,237
Garfield,1992,66,22
Winnebago,2014,342,105
Pueblo,1983,267,72
Putnam,1993,362,129
Matanuska-Susitna ,2000,122,115
Sedgwick,1993,365,107
Los Angeles,2017,365,224
Jefferson,1984,366,224
Floyd,2001,365,200
Kleberg,2011,237,109
Arlington,2005,365,172
Martin,1995,364,133
Floyd,1998,61,36
Page,2015,243,88
Montgomery,2011,362,93
Dauphin,2003,365,203
Asotin,1994,58,66
Dukes,2005,226,201
CHIHUAHUA STATE,1992,333,207
Kitsap,2000,63,68
Orleans,2010,365,140
Marion,1988,366,223
Chambers,1983,353,192
Jackson,1997,365,112
Charles,2003,203,217
San Luis Obispo,1985,365,156
Madison,2008,364,161
Bernalillo,1983,365,221
Lee,1990,355,105
Bonneville,2019,357,63
Stearns,1980,322,103
Skagit,1992,362,160
Jefferson,1994,365,200
Douglas,2017,365,114
Scioto,2009,365,101
Dallas,1994,365,179
San Joaquin,2012,366,182
Clay,2018,363,147
Claiborne,2008,360,115
Prowers,2014,358,247
Windham,1994,354,201
Seneca,1993,155,83
Hawkins,2001,353,183
Massac,1980,361,200
Lee,1991,365,119
Washington,1999,87,57
Aiken,2012,226,93
Okaloosa,2009,362,129
Glynn,1980,234,62
Polk,1984,365,200
Elmore,2018,222,71
Carter,2017,285,77
Cherokee,1991,357,150
Smith,1997,307,166
Asotin,2002,60,85
Oneida,1996,361,122
Summit,1982,365,202
Sheridan,2004,237,116
Jefferson,2010,142,119
Cache,1998,322,119
Madison,2006,237,129
King William,1994,61,41
New Hanover,1995,350,175
Modoc,1998,43,54
Carter,2006,285,120
Brevard,2004,354,105
Asotin,1993,61,97
Volusia,2018,365,80
Thomas,2018,114,76
Grand Traverse,2002,86,96
Boyd,2003,364,201
Tuolumne,1994,365,172
Jackson,1980,260,111
Grand Forks,1990,261,232
Rio Arriba,2016,362,80
Orange,1984,343,206
Montgomery,1989,49,62
Richmond City,1998,365,164
Bullitt,1994,362,159
Daggett,2013,172,90
Wayne,2011,120,49
Oliver,1997,365,112
Thurston,2011,363,104
Stillwater,1996,91,36
Crittenden,2016,366,159
Jackson,1984,363,187
Albany,1994,361,209
Daviess,2008,324,174
Carson City,2017,365,162
Madison,1990,59,71
Lander,2001,355,80
Suffolk,2017,365,119
Grant,2012,363,100
Burleigh,2000,124,70
Columbia,2015,321,77
Montgomery,2016,366,121
Hancock,1992,56,44
Jefferson,2000,366,208
Daviess,1990,363,200
Linn,2012,366,122
Genesee,2014,341,105
Tehama,2000,320,156
Trego,2012,366,143
Santa Cruz,2006,365,101
Pulaski,2012,366,150
Douglas,2001,365,126
Bristol,2008,366,156
Dona Ana,1991,365,200
Suffolk,1982,304,174
Juneau ,2005,115,125
Pitt,1989,210,159
Sumter,1987,196,82
Benton,1986,327,196
Orleans,1991,365,126
Warren,1993,289,133
Union,1982,360,223
Cascade,2009,365,68
Berkeley,1992,360,136
Hinds,2016,366,100
Rockdale,2011,364,164
Placer,2014,365,240
Plymouth,1988,198,232
Door,1993,174,166
Scott,2017,365,103
Ector,2008,366,115
Saint Clair,1996,366,180
Guaynabo,1998,340,107
El Paso,2014,365,158
Hamilton,1992,366,200
Tucker,1997,362,151
Denton,2016,366,143
Middlesex,1984,183,233
Lauderdale,2001,275,143
Richland,1990,365,205
Kent,1990,214,226
Sumter,2006,263,119
Vermillion,1992,184,65
Tangipahoa,2012,114,74
Rockingham,2004,366,182
Union,1999,352,115
Andrew,2019,245,80
Benzie,2007,183,156
Lee,2011,117,81
Catron,2004,112,55
Woodbury,1989,61,64
Gaston,2004,121,96
Mason,1994,195,182
McClain,2001,365,151
Montgomery,1986,362,195
Caddo,2011,349,161
Buchanan,1988,359,200
Prince George's,1986,365,205
Cameron,2007,363,101
Lea,1999,121,62
Clearfield,2016,338,119
Lincoln,2013,365,160
Charleston,1986,365,152
Bristol,1980,366,220
Seminole,1999,365,159
Yakima,2006,365,158
Orangeburg,2004,308,115
Pointe Coupee,2000,362,172
Franklin,2015,359,139
Codington,2014,365,85
Raleigh,2009,113,67
Rio Grande,2001,57,51
Saint Charles,1986,344,209
East Baton Rouge,1980,336,240
Fremont,1991,173,89
Essex,1986,365,172
Eau Claire,2010,42,93
Garfield,1989,100,36
DeKalb,1993,357,177
Johnston,1984,355,151
DeSoto,1993,271,154
Hinds,1984,366,164
Edgefield,2018,355,90
Greene,2005,183,147
Saint Louis,1993,365,203
Roosevelt,2006,115,75
McHenry,2008,366,100
Siskiyou,1987,268,190
Ontonagon,1981,365,200
Dorchester,2008,363,150
Hardin,2012,307,161
Union,2003,229,147
Plymouth,2009,118,76
Tulare,1996,366,206
Knox,1987,169,223
Sanders,2001,123,120
Saint Clair,1995,365,207
Lewis,2002,27,50
Iron,1992,58,66
Shelby,2008,182,101
Garfield,2003,89,32
Douglas,2005,365,147
Madison,1983,365,242
Westchester,1994,343,202
Campbell,1986,53,33
Union,2009,365,89
Minnehaha,1993,59,52
Monterey,2017,365,121
Logan,2009,113,90
Lee,2004,118,61
Dunn,1985,365,67
Muskegon,2002,240,205
Elk,1990,318,174
Cache,1997,312,87
Custer,2018,364,104
Chattooga,2018,245,87
Panola,1999,85,77
Taney,2001,95,88
Kenosha,2000,244,159
Clay,2001,365,156
Minidoka,2001,60,66
Bennington,1982,116,99
Washington,2007,364,151
Mariposa,1994,365,197
Hamilton,2016,288,177
Caddo,2017,111,58
Cowlitz,1984,363,103
Durham,1991,365,95
Yolo,1986,365,187
Perry,2010,357,133
Richland,2000,366,192
Lawrence,2011,365,126
Cheshire,2013,365,108
Yavapai,2004,258,140
Greene,2000,366,151
Anoka,2019,364,122
Valencia,2015,356,93
Cook,2013,365,136
Douglas,2018,364,156
Mariposa,1999,355,200
Winnebago,1994,214,143
Rutherford,1996,211,156
Tolland,1992,365,212
Adams,2011,362,140
Pitt,2017,365,87
Washtenaw,1992,364,200
Fayette,2003,348,177
Cecil,1998,231,227
Carroll,1988,321,230
Harrison,2017,361,105
Broadwater,1994,360,58
Gwinnett,2014,365,105
Jefferson,1985,295,97
Barnwell,1995,338,119
Spencer,2001,348,119
Napa,1992,364,100
Arkansas,1995,57,66
Chatham,1989,365,109
Hillsborough,1988,366,192
Washington,2007,229,164
Gaston,2001,121,111
Kent,2003,365,201
McMinn,2007,365,130
Nez Perce,2009,332,69
Waukesha,2002,365,172
Hall,2003,111,91
Hampton City,1993,364,219
Gibson,2001,365,180
Webster,2007,185,108
Winona,1999,37,39
Saint Charles,1983,361,200
Stafford,1999,214,207
Gregg,2007,365,164
Ozaukee,2011,235,182
Lee,1991,259,126
Kay,2006,365,166
Ottawa,2000,244,190
Wayne,2016,366,133
Monroe,1997,96,207
Macomb,1992,366,159
Asotin,1997,54,94
Marengo,1989,45,52
Routt,1991,182,109
Chesterfield,1998,226,202
Klamath,1991,251,147
Rio Grande,2006,49,51
Bucks,1996,365,214
King,2014,365,150
Jackson,2004,317,156
Lake,1983,365,233
Pueblo,2000,126,79
Fairfax,1991,365,243
Union,1996,366,137
Clallam,1995,365,200
Daviess,1994,365,200
St. Charles,2000,355,202
Maricopa,2019,365,147
Hennepin,1987,365,143
Rock Island,2002,314,147
Sevier,2008,365,151
Snohomish,1999,365,148
Tulare,1998,365,218
Arapahoe,1990,365,151
Henry,2004,117,85
Kings,2009,365,105
Santa Barbara,2016,366,315
Litchfield,2003,243,182
Floyd,2003,365,184
Monroe,2014,365,101
Jefferson,2016,366,151
Rockingham,2017,365,87
Honolulu,2014,359,195
DuPage,1984,336,204
Lucas,2008,366,129
Imperial,1983,335,133
Natrona,1993,59,41
Bradley,1986,359,159
Lackawanna,1997,365,185
Simpson,1997,349,206
York,1985,284,197
Kittitas,1998,152,77
Fredericksburg City,2017,11,15
Tazewell,1999,359,194
Suffolk City,2011,212,136
Franklin,1993,113,177
Centre,2000,366,197
Monroe,2001,365,172
Providence,1990,365,195
Garrett,2009,365,101
Delta,2007,106,66
Cumberland,2006,335,145
Warren,2017,365,105
Dauphin,1983,365,249
Grant,1996,366,192
Steele,1995,365,93
Wilson,1996,57,42
Crow Wing,2004,179,90
Dakota,1988,366,200
DeKalb,1994,365,182
Blair,2003,365,197
Bingham,2002,52,91
Silver Bow,2004,366,120
Bristol,2000,364,200
Montgomery,1994,349,166
Armstrong,2001,211,213
Henderson,2019,363,120
Rockbridge,2009,263,80
Larimer,1994,365,143
Jefferson,1995,246,203
Ottawa,1992,57,42
Outagamie,2003,243,150
Avery,1992,358,159
Spencer,2013,118,74
Edgefield,2007,364,119
Wayne,1999,365,200
Morgan,1983,311,200
Arlington,2005,365,172
Florence,2008,207,90
Santa Cruz,1988,359,100
Ulster,2004,366,143
