county,year,dayswaqi,maqi
Jefferson,1985,365,223
Sanders,1996,110,98
Guayanilla,1986,305,152
Kennebec,1990,365,179
Racine,1983,363,256
St Thomas,2004,49,75
Johnson,2012,182,140
Clallam,1982,365,190
Deschutes,1987,60,81
Archuleta,2017,360,93
Washington,1997,56,54
Will,2008,366,133
Maricopa,2003,365,195
Baker,1998,363,147
Onondaga,2009,365,119
Saint Louis,1989,365,220
Park,1994,58,109
Fairfield,1986,365,218
Licking,1996,222,204
Inyo,1996,366,2279
Davie,1983,335,159
Berkeley,1997,362,143
Pitkin,2016,122,44
Placer,1986,363,219
Gibson,2010,365,122
Jackson,2019,365,93
Clinton,2018,244,143
Taney,2001,95,88
Jefferson,2005,353,153
Uintah,2001,51,18
San Joaquin,1995,365,202
Alachua,1985,195,107
Fayette,1998,361,197
St. Bernard,2004,365,200
Coconino,1989,236,100
Barnwell,1996,362,140
Solano,2003,365,136
Chittenden,1983,365,159
Jackson,1991,365,190
San Diego,2010,365,181
Portage,1989,213,200
Grafton,1996,366,151
Brevard,2009,365,100
Kenai Peninsula ,2011,166,36
Campbell,1991,59,51
Fajardo,1991,32,80
Sheridan,2015,115,154
Adams,1981,348,209
Bay,2009,365,143
Russell,1994,61,48
Santa Cruz,2009,346,183
Maricopa,2004,366,385
Alexander,1993,365,148
Solano,1985,365,154
Flathead,1997,365,112
Anne Arundel,2004,285,202
Caddo,2001,57,83
Ohio,1986,365,200
Billings,1997,365,82
Marshall,1998,56,65
Monroe,2013,365,87
Muhlenberg,1991,355,170
Hillsborough,2001,365,205
Larimer,1992,366,143
Hawkins,1980,309,200
Williams,2008,364,200
Carroll,2018,59,22
Saint Louis,1994,365,227
Apache,1984,353,75
Hamilton,1999,361,103
Sumter,2003,281,99
Hamilton,2016,285,100
Fairbanks North Star ,1990,273,140
Berrien,2011,243,177
Delta,2013,121,55
Pearl River,2000,78,115
Allen,2001,361,159
Modoc,2001,62,99
Parke,1984,365,200
Flathead,2008,366,81
Columbia,2005,363,126
Thurston,2012,361,153
Will,1980,361,190
Imperial,1990,364,152
Yuma,2000,206,93
Duval,1992,366,161
Saratoga,1990,116,61
Adams,2015,356,161
Clark,1980,351,200
Camden,2005,365,185
Georgetown,1984,170,133
Trinity,2002,112,57
Mesa,1995,365,60
St. John the Baptist,1986,360,201
Henrico,2016,364,129
Adams,1991,365,115
Putnam,2000,366,102
Clark,2009,205,93
Hunterdon,1986,341,197
Merced,1992,331,202
District of Columbia,2010,365,187
DeSoto,2008,362,136
Koochiching,1990,329,60
Adjuntas,2015,91,59
Milam,2016,42,33
Sangamon,1989,364,190
Clay,1980,366,222
